time,P,G(i),H_sun,T2m,WS10m,Int
20140113:2310,0.0,0.0,0.0,1.89,1.02,0.0
20140114:0010,0.0,0.0,0.0,1.67,1.09,0.0
20140114:0110,0.0,0.0,0.0,1.52,1.01,0.0
20140114:0210,0.0,0.0,0.0,1.37,0.93,0.0
20140114:0310,0.0,0.0,0.0,1.23,0.86,0.0
20140114:0410,0.0,0.0,0.0,1.13,0.78,0.0
20140114:0510,0.0,0.0,0.0,1.03,0.71,0.0
20140114:0610,0.0,0.0,0.0,0.93,0.63,0.0
20140114:0710,21072560.0,221.18,11.12,2.9,0.64,0.0
20140114:0810,34666600.0,351.75,18.95,4.86,0.64,1.0
20140114:0910,69364520.0,724.91,24.74,6.82,0.65,0.0
20140114:1010,44451200.0,455.95,27.87,7.64,1.14,0.0
20140114:1110,27676440.0,288.87,27.95,8.45,1.62,0.0
20140114:1210,61199280.0,629.65,24.96,9.26,2.11,0.0
20140114:1310,21809160.0,231.12,19.29,8.92,1.86,0.0
20140114:1410,10300800.0,119.38,11.55,8.57,1.61,0.0
20140114:1510,0.0,0.0,0.0,8.23,1.37,0.0
20140114:1610,0.0,0.0,0.0,7.35,1.32,0.0
20140114:1710,0.0,0.0,0.0,6.48,1.27,0.0
20140114:1810,0.0,0.0,0.0,5.61,1.23,0.0
20140114:1910,0.0,0.0,0.0,5.57,1.23,0.0
20140114:2010,0.0,0.0,0.0,5.54,1.23,0.0
20140114:2110,0.0,0.0,0.0,5.51,1.23,0.0
20140114:2210,0.0,0.0,0.0,5.79,1.23,0.0
20140114:2310,0.0,0.0,0.0,6.08,1.24,0.0
20140115:0010,0.0,0.0,0.0,6.37,1.24,0.0
20140115:0110,0.0,0.0,0.0,6.38,1.22,0.0
20140115:0210,0.0,0.0,0.0,6.39,1.2,0.0
20140115:0310,0.0,0.0,0.0,6.4,1.17,0.0
20140115:0410,0.0,0.0,0.0,6.43,1.1,0.0
20140115:0510,0.0,0.0,0.0,6.47,1.03,0.0
20140115:0610,0.0,0.0,0.0,6.51,0.97,0.0
20140115:0710,5456640.0,70.21,11.21,7.03,0.95,0.0
20140115:0810,5331360.0,69.06,19.07,7.54,0.94,0.0
20140115:0910,6237320.0,78.52,24.88,8.05,0.92,0.0
20140115:1010,6794120.0,84.19,28.04,8.09,1.01,0.0
20140115:1110,8577040.0,102.17,28.14,8.13,1.1,0.0
20140115:1210,10095480.0,117.3,25.15,8.17,1.19,0.0
20140115:1310,6143360.0,77.57,19.49,8.19,1.18,0.0
20140115:1410,3171440.0,46.35,11.74,8.21,1.17,0.0
20140115:1510,0.0,4.53,2.5,8.23,1.16,0.0
20140115:1610,0.0,0.0,0.0,8.04,1.05,0.0
20140115:1710,0.0,0.0,0.0,7.85,0.94,0.0
20140115:1810,0.0,0.0,0.0,7.67,0.83,0.0
20140115:1910,0.0,0.0,0.0,7.61,0.75,0.0
20140115:2010,0.0,0.0,0.0,7.56,0.67,0.0
20140115:2110,0.0,0.0,0.0,7.51,0.59,0.0
20140115:2210,0.0,0.0,0.0,7.5,0.42,0.0
20140115:2310,0.0,0.0,0.0,7.5,0.25,0.0
20140116:0010,0.0,0.0,0.0,7.49,0.08,0.0
20140116:0110,0.0,0.0,0.0,7.48,0.21,0.0
20140116:0210,0.0,0.0,0.0,7.46,0.34,0.0
20140116:0310,0.0,0.0,0.0,7.45,0.47,0.0
20140116:0410,0.0,0.0,0.0,7.2,0.55,0.0
20140116:0510,0.0,0.0,0.0,6.95,0.63,0.0
20140116:0610,0.0,0.0,0.0,6.7,0.7,0.0
20140116:0710,14094000.0,156.86,11.31,7.81,0.69,0.0
20140116:0810,43198400.0,447.33,19.19,8.92,0.68,0.0
20140116:0910,71393360.0,760.56,25.03,10.03,0.66,0.0
20140116:1010,26309960.0,278.67,28.22,10.45,1.14,0.0
20140116:1110,21059800.0,226.96,28.33,10.86,1.63,0.0
20140116:1210,51824160.0,536.17,25.36,11.28,2.11,0.0
20140116:1310,12783200.0,145.01,19.69,10.97,1.74,0.0
20140116:1410,17485840.0,191.92,11.94,10.66,1.37,0.0
20140116:1510,272600.0,10.86,2.69,10.35,0.99,0.0
20140116:1610,0.0,0.0,0.0,9.43,1.12,0.0
20140116:1710,0.0,0.0,0.0,8.52,1.25,0.0
20140116:1810,0.0,0.0,0.0,7.61,1.38,0.0
20140116:1910,0.0,0.0,0.0,6.3,1.15,0.0
20140116:2010,0.0,0.0,0.0,4.99,0.92,0.0
20140116:2110,0.0,0.0,0.0,3.68,0.69,0.0
20140116:2210,0.0,0.0,0.0,3.28,0.67,0.0
20140116:2310,0.0,0.0,0.0,2.89,0.64,0.0
20140117:0010,0.0,0.0,0.0,2.49,0.62,0.0
20140117:0110,0.0,0.0,0.0,2.1,0.69,0.0
20140117:0210,0.0,0.0,0.0,1.71,0.77,0.0
20140117:0310,0.0,0.0,0.0,1.32,0.84,0.0
20140117:0410,0.0,0.0,0.0,1.46,0.86,0.0
20140117:0510,0.0,0.0,0.0,1.6,0.88,0.0
20140117:0610,0.0,0.0,0.0,1.74,0.9,0.0
20140117:0710,36664120.0,376.47,11.41,3.79,0.88,0.0
20140117:0810,58183280.0,596.55,19.32,5.83,0.86,0.0
20140117:0910,73569520.0,774.32,25.19,7.87,0.84,0.0
20140117:1010,78823160.0,840.08,28.4,9.15,0.98,0.0
20140117:1110,78759360.0,842.77,28.54,10.42,1.12,0.0
20140117:1210,71264600.0,757.54,25.57,11.69,1.26,0.0
20140117:1310,56736760.0,593.98,19.9,11.16,1.18,0.0
20140117:1410,34860320.0,367.93,12.14,10.64,1.11,0.0
20140117:1510,445440.0,13.58,2.88,10.11,1.03,0.0
20140117:1610,0.0,0.0,0.0,8.41,0.72,0.0
20140117:1710,0.0,0.0,0.0,6.72,0.41,0.0
20140117:1810,0.0,0.0,0.0,5.03,0.1,0.0
20140117:1910,0.0,0.0,0.0,4.4,0.26,0.0
20140117:2010,0.0,0.0,0.0,3.77,0.43,0.0
20140117:2110,0.0,0.0,0.0,3.14,0.59,0.0
