time,P,G(i),H_sun,T2m,WS10m,Int
20140118:1610,0.0,0.0,0.0,5.5,1.04,0.0
20140118:1710,0.0,0.0,0.0,5.02,1.04,0.0
20140118:1810,0.0,0.0,0.0,4.55,1.03,0.0
20140118:1910,0.0,0.0,0.0,4.5,1.14,0.0
20140118:2010,0.0,0.0,0.0,4.46,1.24,0.0
20140118:2110,0.0,0.0,0.0,4.41,1.34,0.0
20140118:2210,0.0,0.0,0.0,4.22,1.44,0.0
20140118:2310,0.0,0.0,0.0,4.03,1.55,0.0
20140119:0010,0.0,0.0,0.0,3.84,1.66,0.0
20140119:0110,0.0,0.0,0.0,3.59,1.54,0.0
20140119:0210,0.0,0.0,0.0,3.34,1.43,0.0
